Timestamp,Honeypot,Src_IP,Country,Confidence,Event,Details,MITRE_ID,MITRE_Technique
2026-01-06T01:23:25.839323Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:23:27.343548Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:23:29.066830Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:23:55.934426Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:23:56.063485Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:23:56.364433Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:23:57.432915Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:23:59.116255Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:24:27.522957Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:24:27.809420Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:24:27.810056Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:24:28.910672Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:24:30.568793Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:24:59.832168Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:25:00.100191Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:25:00.100820Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:25:01.311285Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:25:03.023417Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:25:31.093309Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:25:31.252275Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:25:31.410720Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:25:32.773621Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:25:34.307450Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:26:01.493956Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:26:01.756107Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:26:01.756993Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:26:03.141151Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:26:04.744360Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:26:31.762410Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:26:31.907470Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:26:32.079666Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:26:32.956934Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:26:34.476037Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:01.505278Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:27:01.646655Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:01.832690Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:02.772875Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:27:04.303015Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:30.159744Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:27:30.299394Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:30.450149Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:31.880628Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
